"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,1,"ALB","Albania","ECA","N","1981","1996","X",58.16801,3.2,212.1173,0.08855139,0.01589808,0.004567939,0.01906951,0.2701034,186.4206,0.1191043,-1,2.726056,"ALB_N1996X",0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
0,0,"DZA","Algeria","MNA","N","1981","1988","X",31.77229,3.2,238.9559,0.1718068,0.04047541,0.01296871,0.05037521,0.4019491,177.8071,0.2817323,0.3079208,19.943664,"DZA_N1988X",0.027,0.03839,0.04869,0.05868,0.06898,0.08035,0.09398,0.1124,0.1434,0.3281
0,1,"AGO","Angola","SSA","N","1981","2000.21","X",73.83312,3.2,170.9316,0.4539527,0.2097327,0.1294617,0.3654964,0.5195689,108.1199,0.5125765,-1,9.244507,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
1,0,"ARG","Argentina","LAC","U","1981","","Y",2.768382,3.2,766.8163,0.01243981,0.003948313,0.002376175,-1,-1,-1,-1,-1,23.780333,"ARG_U1980Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"ARM","Armenia","ECA","N","1981","1996","Y",183.7796,3.2,256.9512,0.2034753,0.05692529,0.02291139,0.07426145,0.4441862,177.1371,0.3354787,0.3826619,3.148092,"ARM_N1996Y",0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
0,1,"AUS","Australia","OHI","N","1981","1981","Y",1.526641,3.2,1043.137,0.01246238,0.007330768,0.005251738,0.01609505,0.3132579,879.4483,0.1871019,-1,14.927,"AUS_N1981Y",0.02786,0.0489,0.05984,0.06916,0.07836,0.09063,0.1065,0.1272,0.1585,0.233
0,1,"AUT","Austria","OHI","N","1981","2003","Y",0.8475838,3.2,1008.385,0.004829058,0.003463779,0.002738916,0.009046681,0.2946442,875.1585,0.1587559,-1,7.56871,"AUT_N2003Y",0.0331,0.05166,0.0622,0.0722,0.08163,0.0922,0.1053,0.1213,0.146,0.2344
0,1,"AZE","Azerbaijan","ECA","N","1981","1995","X",0.3294187,3.2,445.7032,0.02656401,0.008110651,0.004024626,0.01220571,0.3465029,363.2906,0.2078099,-1,6.24932,"AZE_N1995X",0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
0,0,"BGD","Bangladesh","SAS","N","1981","1983.5","X",24.84915,3.2,83.96663,0.7384546,0.2491926,0.1102984,0.3462809,0.2587649,75.06954,0.1121437,0.2039662,83.721268,"BGD_N1983X",0.04127,0.0559,0.06679,0.07612,0.08495,0.09409,0.1045,0.118,0.1397,0.2187
0,0,"BLR","Belarus","ECA","N","1981","1993","Y",1832.435,3.2,219.9823,0.02462391,0.00292543,0.0006746577,0.003372763,0.2160372,203.0003,0.07740133,0.1706868,9.71,"BLR_N1993Y",0.0487,0.06248,0.07237,0.08066,0.08841,0.09634,0.1053,0.1168,0.135,0.194
