id,class
ARM,E1
BTN,E1
BOL,E1
BRA,E1
CPV,E1
CHN,E1
CHN,E1
CHN,E1
COL,E1
ECU,E1
SLV,E1
GTM,E1
GUY,E1
IND,E1
IDN,E1
IDN,E1
IDN,E1
IRQ,E1
KGZ,E1
MDV,E1
MRT,E1
MEX,E1
MDA,E1
MNG,E1
MMR,E1
NPL,E1
NIC,E1
PAK,E1
PAN,E1
PRY,E1
PER,E1
PHL,E1
LKA,E1
LCA,E1
SDN,E1
TJK,E1
TUN,E1
TKM,E1
VNM,E1
BGD,E2
BWA,E2
CMR,E2
TCD,E2
ETH,E2
GMB,E2
GHA,E2
HTI,E2
IND,E2
IND,E2
LAO,E2
LBR,E2
NAM,E2
UZB,E2
AGO,NE
BLZ,NE
BEN,NE
BFA,NE
BDI,NE
CAF,NE
COM,NE
COD,NE
COG,NE
CIV,NE
DJI,NE
SWZ,NE
GIN,NE
GNB,NE
HND,NE
KEN,NE
KIR,NE
LSO,NE
MDG,NE
MWI,NE
MLI,NE
MOZ,NE
NER,NE
NGA,NE
PNG,NE
RWA,NE
SEN,NE
SLE,NE
SLB,NE
ZAF,NE
SUR,NE
TZA,NE
TGO,NE
UGA,NE
VUT,NE
ZMB,NE
ALB,R
DZA,R
ARG,R
AUS,R
AUT,R
AZE,R
BLR,R
BEL,R
BIH,R
BGR,R
CAN,R
CHL,R
CRI,R
HRV,R
CYP,R
CZE,R
DNK,R
DOM,R
EGY,R
EST,R
FJI,R
FIN,R
FRA,R
GAB,R
GEO,R
DEU,R
GRC,R
HUN,R
ISL,R
IRN,R
IRL,R
ISR,R
ITA,R
JAM,R
JPN,R
JOR,R
KAZ,R
KOR,R
LVA,R
LBN,R
LTU,R
LUX,R
MYS,R
MLT,R
MUS,R
MNE,R
MAR,R
NLD,R
MKD,R
NOR,R
POL,R
PRT,R
ROU,R
RUS,R
WSM,R
SRB,R
SYC,R
SVK,R
SVN,R
ESP,R
SWE,R
CHE,R
THA,R
TON,R
TTO,R
TUR,R
TUV,R
UKR,R
GBR,R
USA,R
URY,R
PSE,R
FSM,B
SYR,B
YEM,B
ZWE,B
