"requestYear","regionTitle","regionCID","povertyLine","mean","hc","pg","p2","population"
2015,"East Asia and Pacific","EAP",5.5,307.6468,0.3484224,0.1171375,0.05352759,2038.474494
2015,"Europe and Central Asia","ECA",5.5,513.7537,0.1398587,0.0489069,0.02406269,487.035092
2015,"Latin America and the Caribbean","LAC",5.5,473.6526,0.2628931,0.09759805,0.05103778,626.569449
2015,"Middle East and North Africa","MNA",5.5,280.5046,0.4214257,0.1475539,0.0709064,371.649116
2015,"Other high Income","OHI",5.5,1624.884,0.01492897,0.008698194,0.006735027,1083.781306
2015,"South Asia","SAS",5.5,130.526,0.8134983,0.3649169,0.1947212,1744.199944
2015,"Sub-Saharan Africa","SSA",5.5,111.5995,0.8496964,0.5104797,0.3501801,1006.090069
2015,"World Total","WLD",5.5,459.2859,0.4606899,0.2090428,0.1193849,7357.79947
2015,"World less Other High Income","TOT",5.5,257.9391,0.5376912,0.2436506,0.1388442,6274.018164
2013,"East Asia and Pacific","EAP",5.5,271.6183,0.4241516,0.1532158,0.07342361,2009.237135
2013,"Europe and Central Asia","ECA",5.5,528.5117,0.1400577,0.05057019,0.02526122,482.336148
2013,"Latin America and the Caribbean","LAC",5.5,476.4159,0.2718858,0.1051174,0.0574102,612.905322
2013,"Middle East and North Africa","MNA",5.5,282.7479,0.4124494,0.1334529,0.05889424,358.352525
2013,"Other high Income","OHI",5.5,1562.664,0.01507082,0.008113688,0.006184423,1070.261874
2013,"South Asia","SAS",5.5,120.9493,0.841798,0.397455,0.2200319,1699.31045
2013,"Sub-Saharan Africa","SSA",5.5,109.9573,0.8558816,0.5193222,0.3586171,952.961423
2013,"World Total","WLD",5.5,442.1156,0.4866067,0.2259407,0.1305809,7185.364877
2013,"World less Other High Income","TOT",5.5,245.9979,0.5691346,0.2640647,0.1523527,6115.103003
2012,"East Asia and Pacific","EAP",5.5,246.8863,0.4858015,0.1959951,0.1021663,1994.715562
2012,"Europe and Central Asia","ECA",5.5,512.198,0.1497701,0.0550651,0.02815667,480.011086
2012,"Latin America and the Caribbean","LAC",5.5,461.7425,0.2774608,0.1084105,0.05947431,605.928656
2012,"Middle East and North Africa","MNA",5.5,287.8595,0.4154381,0.1344059,0.05916611,351.660341
2012,"Other high Income","OHI",5.5,1554.004,0.01473385,0.007949464,0.00601869,1063.586638
2012,"South Asia","SAS",5.5,116.7761,0.8531687,0.4128666,0.2325659,1676.615491
2012,"Sub-Saharan Africa","SSA",5.5,108.0486,0.8615697,0.5275163,0.3666069,927.260997
2012,"World Total","WLD",5.5,432.1454,0.5070789,0.2422835,0.1423167,7099.778771
2012,"World less Other High Income","TOT",5.5,234.4721,0.5938309,0.2835735,0.1663326,6036.192133
2011,"East Asia and Pacific","EAP",5.5,229.0741,0.5232349,0.2163359,0.1147812,1980.368254
2011,"Europe and Central Asia","ECA",5.5,496.2012,0.1540565,0.05720703,0.02957288,477.920114
2011,"Latin America and the Caribbean","LAC",5.5,442.0908,0.2955889,0.1190882,0.06761493,598.885277
2011,"Middle East and North Africa","MNA",5.5,293.5307,0.4181113,0.1360136,0.06005033,345.059311
2011,"Other high Income","OHI",5.5,1554.988,0.01416307,0.007939613,0.006166483,1057.165319
2011,"South Asia","SAS",5.5,113.0375,0.8644393,0.4265286,0.2435111,1653.798614
2011,"Sub-Saharan Africa","SSA",5.5,105.746,0.869175,0.5361212,0.374404,902.204849
2011,"World Total","WLD",5.5,425.217,0.5216917,0.2525151,0.1496256,7015.401738
2011,"World less Other High Income","TOT",5.5,224.7626,0.6117421,0.2959099,0.1750794,5958.236419
2010,"East Asia and Pacific","EAP",5.5,214.5922,0.5608042,0.2439218,0.13407,1966.296477
2010,"Europe and Central Asia","ECA",5.5,478.4171,0.1640718,0.06141457,0.03214198,475.954535
2010,"Latin America and the Caribbean","LAC",5.5,428.1499,0.3110858,0.1270807,0.07258143,591.79499
2010,"Middle East and North Africa","MNA",5.5,291.1239,0.4286454,0.1385119,0.06032606,338.623017
2010,"Other high Income","OHI",5.5,1554.578,0.01352465,0.007651724,0.00591386,1051.966262
2010,"South Asia","SAS",5.5,104.923,0.8854626,0.458297,0.2709472,1630.806784
2010,"Sub-Saharan Africa","SSA",5.5,103.3495,0.8753623,0.5458659,0.3841791,877.837085
2010,"World Total","WLD",5.5,418.1011,0.5389539,0.2690771,0.1626403,6933.27915
2010,"World less Other High Income","TOT",5.5,214.8241,0.6329353,0.3158372,0.1906733,5881.312888
2008,"East Asia and Pacific","EAP",5.5,183.2514,0.6371123,0.2940069,0.1679827,1938.431648
2008,"Europe and Central Asia","ECA",5.5,474.3555,0.1711872,0.06493084,0.03468179,472.400836
2008,"Latin America and the Caribbean","LAC",5.5,407.9926,0.3323248,0.1384257,0.07984141,577.480199
2008,"Middle East and North Africa","MNA",5.5,281.3785,0.4666803,0.158957,0.07162326,326.290163
2008,"Other high Income","OHI",5.5,1566.06,0.0120307,0.006899689,0.005347859,1036.564227
2008,"South Asia","SAS",5.5,98.80069,0.8982413,0.4842978,0.2945639,1584.359049
2008,"Sub-Saharan Africa","SSA",5.5,100.2956,0.8817745,0.5552735,0.3934428,831.161835
2008,"World Total","WLD",5.5,409.3501,0.5657948,0.2908906,0.178926,6766.687957
2008,"World less Other High Income","TOT",5.5,200.1043,0.6659693,0.3422638,0.2103258,5730.12373
2005,"East Asia and Pacific","EAP",5.5,155.7784,0.7156804,0.3448887,0.2012126,1895.564733
2005,"Europe and Central Asia","ECA",5.5,371.5385,0.2646016,0.1030737,0.05601761,470.222601
2005,"Latin America and the Caribbean","LAC",5.5,358.4897,0.408585,0.1816005,0.108424,555.956706
2005,"Middle East and North Africa","MNA",5.5,271.2027,0.4955549,0.1736849,0.07957984,309.106483
2005,"Other high Income","OHI",5.5,1505.95,0.01248852,0.007204519,0.005579533,1010.88314
2005,"South Asia","SAS",5.5,93.12709,0.9104095,0.5081916,0.3165957,1512.67056
2005,"Sub-Saharan Africa","SSA",5.5,92.57149,0.8981829,0.57755,0.4154949,766.258605
2005,"World Total","WLD",5.5,381.4448,0.6041394,0.3182863,0.198684,6520.662828
2005,"World less Other High Income","TOT",5.5,175.131,0.71269,0.3753607,0.234113,5509.779688
2002,"East Asia and Pacific","EAP",5.5,125.2378,0.7982786,0.4304261,0.2726007,1849.451155
2002,"Europe and Central Asia","ECA",5.5,300.6485,0.3498997,0.1348765,0.07188149,469.664227
2002,"Latin America and the Caribbean","LAC",5.5,335.737,0.4503168,0.2080278,0.1259393,534.701427
2002,"Middle East and North Africa","MNA",5.5,237.6108,0.5258223,0.1844556,0.08468601,293.385286
2002,"Other high Income","OHI",5.5,1461.099,0.01300069,0.006985448,0.005291357,988.840063
